text_clean,label
sexista y feminazi en la misma frase bravo,0
cállate puta que eres mas importante para mi de lo que crees,1
cuántas medallas olímpicas tiene chile en deportes colectivos así como para cachar,0
siii tambien el lloron qliao de lautaro la cagoooo wn entero sapo y lloron el ql,0
y quien putas es esta pende ya aburren con eso del aborto legal mire que galan lo mas practico asesinemos niños inocentes de plano que a esta gente esa puta ideologia de las feminazis ya les estropeo la mente,1
le saldrá a devolver al mamón,0
primero pídeme permiso mamón,0
si tuvieras mundo creeme que no serías ultra derechista o pq crees que bill gates él si tiene mundo dona su riqueza ni matte paulmann o luksic y piñera ni hablar lo hacen pq creen que tener mundo es miami,0
en qué mundo vive la gente que ataca al feminismo y no a los violadores,0
muy ateos que sois pero bien que os gustaría ser dios eh malditos hipocritas,1
venga todos los fachas conmigo ea ea ea venezuela se cabrea venga esa borregada que no se os escucha,0
nicolas maduro me lleve el oro de venezuela antes que trump venga a invadirnos y quiera robar nuestras riquezas nuestros hermanos los árabes lo cuidaran mejor link,0
con motivo de nuestra intervención en el último pleno del ayuntamiento sobre cesiones de parcelas en cementerios municipales para enterramientos musulmanes publica noticia de la lucha que hemos llevado para defender nuestros derechos n n nlink,0
hay santi el no se la robo ella se fue encantada ya para de llorar por esa zorra que ni se lo merecia caerententacion,1
vaya cara mamon,0
estos tequeños son malos y no tienen casi nada de queso pero la venezolana que los vende tiene tremendo derrière,0
esta chica va a ser la madre de mis hijos me encanta es que esta chica es la polla muriendo,0
felizsábado la realidad contra la mala leche link,0
y no pensaron en eso cuando se metieron a la cama con los comunistas por el puro afán de recuperar el gobierno patéticos link,0
lamento decirte que así no funciona los comunistas nunca asumen la responsabilidad de sus errores lo hacen pésimo pero no es culpa de ellos siempre otro es responsable y se afirman con el populismo,0
australia se está convirtiendo en cenizas el mundo entero se vuelve cenizas y nadie hace nada greta tiene las pelotas que hijos de puta como trump y su pueblo de monos no tienen perderemos nuestra única casa perdón por todo pacha,0
pero hay que ser patetica,1
no celebrenn tanto weones porq no conocen a mi erick,0
un informe pone al descubierto que la remontada del barça és una treta independentista para acallar el juicio millet i montull,0
no eres aburrido eres sincero no es culpa tuya que no te guste la polla de alguien,0
jajajajajajajaja hijo de tu preciosa madre ya callate la perra boca,0
conto me chama no zap,0
cada vez que quiero decir corre culiao es como si gary lo dijera en mi cabeza tkm gary,0
cállate puta,1
buenos días ny a los que hablan el bambara rey rubica que en los años ochenta era medio vedette y andaba con un canijo con leones o idioma mandinga que usan 10 millones de personas en malí tengo que mirarlo n alamisa ɲuman muy católicos ellos njueves si ya animo na vivir,0
pues claro no me digas que te enteras ahora de como son los fascistas link,0
horrible nadie ni nada te obliga a violar a link de los refugiados del aquarius me obligaron a violar a menores y animales durante meses link vía,0
bolsonaro llama mocosa a greta thunberg tras condenar asesinato de indígenas link,0
esperando que las feminazis saquen el éxito la asesina eres tú link,1
hoy a las 22 00 hrs en fabiolacampillai mujer madre y vecina de sanbernardo que sufrió el brutal ataque del ex capitán de carabineros patricio maturana nos contará como este crimen sigue en la impunidad link,0
rutatrump negros votando blanco no os sorprendais aquí obreros votan a la derecha les hace sentir q son clase media,0
ningún independentista ha cometido ningún delito que yo sepa link,0
variantepiñera y su problema con la libertad de expresión es enfermiza a la derecha chilena no le gusta la libertad la persigue y la castiga cuando está no la hace ellos mismos mil veces maldito,1
cerda ladrona,1
otro españolazo fascista coaccionando al pueblo catalán secesionista link,1
correcto pero también está el riesgo porque tú no sabes si el peso irá a valer lo mismo en 12 años o si voy a poder pagarte a futuro entonces los créditos en pesos chilenos pasarían a juntar mucho más interés y te aseguro que finalmente pagarías mucho más,0
que puta novia tu eres mi novia,0
los golpistas indepes fascistas nunca más podrán hablar en nombre de toda catalunya menudo zasca a los separatistas,1
habrá un candidato peor que castillo pobrísimo en sus propuestas ignorante en temas importantes da pena ver sus entrevistas con un programa de los años 40 anti aborto anti ley de género anti matrimonio igualitario homofóbico y machista por suerte a 180 de un jadue o boric,0
miles d españoles licenciados q se han ido o se han quedado y se dedican a servir cafés a extranjeros ni 1 página al único negro q parece q no quiere dedicarse robar vender droga violar y vivir d paguitas titular a toda página nostomanporimbéciles link,1
los okupas causan graves disturbios en santiago y el alcalde podemita les respalda link son gentuza,1
nos ofrecen un apoyo que nuestros gobernantes no desean no por innecesario sino por no ser popular entre los votantes de izquierdas la inmigración debe ser legal y controlada hay que decidir quiénes y cuántos link,0
si la puta q te pario virgen de mierda no digas nada no opines callate nunca em tu vida probaste miche con seven up aa pero ron con coca cola si babieca balurdaaaa,1
apuesto q expulsan a los venezolanos q no aceptaron el chantaje de los fachos y dejan en chile a los venezofachos link,0
85 viajes a venez quien los pagó fotos con los mayores traficantes de drogas del mundo violación de leyes laborales y robo a todo el uruguay procesado sin prisión diputado frenteamplista hijo putativo de la tronca asesina y la comadreja mujica que lo sepa el mundo entero link,0
entiende el tuit volao aweonao,0
la número 2 es declarada independentista yo creo que sumas donde no debes,0
tocayo feliz día fascista paellista,0
por fin demostramos los republicanos q con nuestro apoyo podemos derrotar a los comunistas por la libertad votamos por orrego,0
fijo que esta semana queda la cagá porque más encima el viejo chico es yeta link,0
si rechazar dictadores como franco o maduro es ser perroflauta entonces lo soy da igual izquierda o derecha,0
nunca más sin nosotras chilegram mujeres gabrielamistral feminismo link,0
tu mujer es una puta lliama al remicero fijate guanpudo tenes una mama puta jaja,1
nada amas delirante que zurdos disfrutando de todos los privilegios del modelo neoliberal capitalista mientras los critica,1
llamando loca a greta puteros y viciosos a los de la cop25 mi padre link,0
por lo mismo yo no tengo tarjetas del retail las elimine todas son unos sinvergüenzas son los verdaderos delincuentes de cuello y corbata,0
árabe me cebo tanto que me dieron ganas de masticar ladrillos,0
si poner a las mujeres primero es ser enfermo por su puesto que estoy enfermo espero que logres darte cuenta que un conjunto de células no vale más que tu,0
me acabo de cruzar con una bollera desconocida en coruxo,1
un fraude el var había una imagen en diagonal que mostraba claramente que no le tocó la mano al villano y no se la mostraron al arbitro ladron de hecho partieron mostrándole una por detras de la jugada el var miente como el ctm de renunciainfelizctm piñera,0
hasta que los pongan en sus puestos y no le hagan caso o mejor aún cuando el pueblo dueño absoluto de este país se levante y exija deportación masiva de todo inmigrante indocumentado,1
ojo que ahora en el documental van con que no debería haber distinción de sexo al vestir persona de plástico todos tenemos un lado masculino y otro femenino antiguamente los hombres vestían mejor que las mujeres por el machismo seguro que no era,0
jajajajaja cállate perra es alguito nomas,1
córdoba cf n n nel meta gibraltareño amplía su contrato con el y tendrá ficha con el primer equipo por lo que contará con tres porteros en la primera plantilla link,0
general raul isaias baduel convoca al desafio politico desde la carcel abril2012 link 153 pronunciamientomilitar,0
que es aweonao el toby xd,0
hombres valientes hay weones hoy en dia que todavia no saben si son hombre o mujer,0
que continúe el circo link,0
newton era un facha ergo esa ley es fascista luego eintein la retocó para adaptarla a los tiempos que corren ya que era judeomasónico capitalista,0
tú eres más puta jijijiji,1
porque tienes tremenda facha en el sentido latinoamericano de la palabra,0
setroi noticias los seguidores del presidente autoritario tunecino defienden su constitución de qué sirve la democracia si un país es pobre link link noticias tan solo el 27 5 de los tunecinos habían votado a las 22 horas en un refer,0
se la ve feliz cuando se la folla el negro se la ve feliz cuando se la folla el negro y tanto que link pornogratis,0
prorrogacedulasdeidentidad informa que se extendió la vigencia de las cédulas de identidad de ciudadanos chilenos vencidas en 2020 y 2021 hasta el 31 de diciembre de este año para conocer más entra a link link,0
callate gil sali a laburar trollo en tu puta vida moviste un dedo,0
los que deseáis que los homófobos tengan hijos lgtb no sois conscientes de lo mucho que sufrimos esos hijos no,0
puta la madre tu eres una mujer muy guapa,0
bolsonaro tilda a activista greta thunberg de mocosa y ella lo asume en su cuenta twitter link link,0
la mujer que fue absuelta por la justicia tras ser encarcelada y acusada de terrorismo porte de armas y participar en el crimen contra el matrimonio luchsinger mackay recuerda el momento de su detención por carabineros poderyverdad link,0
jajaajj oiga tatita si los unicos que eran pagados y andaban destruyendo fueron los aweonaos que escondian sus weas en la sede de la udi a 200 metros de la moneda,0
güeros link,0
las redadas racistas de la policía son un ataque a la clase trabajadora link,0
que te llame llorón es como si franco te llamase facha la única respuesta que cabe es que en la vida ofende solo el que puede,0
mereces morirte pedazo de mierda hijo de puta ojalá te entren un millón de tumores en el p uto cerebro hijo de la gran zorra,0
se lo merecía tanto la puta madre vamos florencia es semifinalista,0
jajajajajaj qlq valeeee maldito muchacho mongolico,1
lula boric y petro son una tríada muy interesante para liderar la nueva izquierda latinoamericana pablo iglesias nlulaeoptmeubrasildevolta link vía,0
que odio cuando estoy hablando con una persona y hay otra metiendo bocadillo pero callate la puta madre,0
llegamos a los 30 mil casi a los cuantos fallecidos se va el enano maldito que se lleve al weon del ife tramposo también,0
muy entrete todo pero me voy a la kine a soplar ls pelotitas maldito covid amp cuidese patriotas,0
este sichel es un payaso tragacionista y totalitario,0
vendieron una servicentro shell y echaron a todos los chilenos porque el nuevo dueño solo contrata inmigrantes tenemos mas del 7 de desempleo y solo quieren inmigrantes apoyas a los inmigrantes hasta que te quitan el empleo la polola la casa o la vida defiende a tu gente,1
que hacen estos weones opinando de nuestros ahorros,0
doble fracaso de rajoy mayoría absoluta independentista y victoria de ciudadanos link vía link,0
no porque no son nefastos los nefastos son los ultrones,0
mi polla en tu culo es lo que hay pero no porque no soy activa,0
el netflix detecta donde estoy y me recomienda las 10 series mas vistas en emiratos árabes,0
estos malditos mediocres de mierda de pana ya me tienen harto,0
y las mujeres privadas de libertad con sus niñ encarceladas,0
suelten las weas perros culiaos,0
pues igual que maricon otra cosa bonita que creen que es un insulto o perro,0
desde luego esta tía es gilipollas total no se como en el psoe la dejan salir en público cada vez que habla esta indocumentada y atrevida sube el pan,0
callate puta que todavía no lo vi yo,1
como escuece perro vete a chuparla a artur más o a tu puta madre ya y callate,0
no me puedes decir que nos respetas cuando usas la palabra maricon bollera e insultos similares de forma despectiva hacia nosotros,0
facha machista y catalanófobo al madrid de cabeza,1
prioridades chupar oyo,0
la palabra feminazi me parece grotesca empezando por ahí pero si considero que es un psicópata en general y ya no es un exclusivo feminicida igual no soy psiquiatra no sé nada de eso,0
las personas mariana aylwin soledad alvear ignacio manzanita walker el pelao mafioso inzunza puros fachos de izquierda histórica,0
ya bueno yo soy hetero no he dicho que no me lie con un gay porqe sea gay sino porqe es hombre y soy hetero eres un homofogo de mier,1
tenía un amigo le decían el trucha un ojo derecho y el otro a la xuxa puta los weones malos,0
mvtenlafrontera por cierto lo del millón de subsaharianos esperando lo dijo el gobierno marroquí de nada,0
aparte del inmigrante pobre nos van a endosar a migrantes delincuentes,1
